GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G2900450","1860","Missouri","290","Clark","0450","Clark",45,17,13,20,7,0,4,4,1,8,1,2,0,0,0,0,0,0,0,0,0,122,455
"G2900470","1860","Missouri","290","Clay","0470","Clay",141,97,67,63,59,44,42,30,18,55,19,11,3,2,1,0,0,0,0,0,0,652,3455
"G2900490","1860","Missouri","290","Clinton","0490","Clinton",81,37,47,28,25,21,11,7,8,10,6,2,0,0,0,0,0,0,0,0,0,283,1144
"G2900510","1860","Missouri","290","Cole","0510","Cole",40,24,21,11,15,15,11,3,5,11,4,4,3,1,1,0,0,0,0,0,0,169,987
"G2900530","1860","Missouri","290","Cooper","0530","Cooper",195,111,87,56,50,42,38,22,26,57,30,9,6,1,1,1,0,0,0,0,0,732,3800
"G2900550","1860","Missouri","290","Crawford","0550","Crawford",15,13,6,5,5,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,52,182
"G2900570","1860","Missouri","290","Dade","0570","Dade",36,19,22,9,5,3,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,107,346
"G2900590","1860","Missouri","290","Dallas","0590","Dallas",14,12,1,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40,114
"G2900610","1860","Missouri","290","Daviess","0610","Daviess",39,22,7,17,6,10,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,116,358
"G2900630","1860","Missouri","290","DeKalb","0630","De Kalb",17,14,8,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,137
"G2900650","1860","Missouri","290","Dent","0650","Dent",9,14,7,5,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,45,156
"G2900670","1860","Missouri","290","Douglas","0670","Douglas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2900690","1860","Missouri","290","Dunklin","0690","Dunklin",13,11,2,4,2,3,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,44,171
"G2900710","1860","Missouri","290","Franklin","0710","Franklin",63,46,35,28,23,16,19,12,5,24,13,7,1,1,0,0,0,0,0,0,0,293,1601
"G2900730","1860","Missouri","290","Gasconade","0730","Gasconade",13,8,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,76
"G2900750","1860","Missouri","290","Gentry","0750","Gentry",18,8,6,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,118
"G2900770","1860","Missouri","290","Greene","0770","Greene",86,59,37,32,24,19,13,15,7,31,6,6,1,2,0,0,0,0,0,0,0,338,1668
"G2900790","1860","Missouri","290","Grundy","0790","Grundy",35,22,9,12,8,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,97,285
"G2900810","1860","Missouri","290","Harrison","0810","Harrison",7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25
"G2900830","1860","Missouri","290","Henry","0830","Henry",95,57,32,25,16,14,12,7,11,15,9,4,1,0,0,0,0,0,0,0,0,298,1245
"G2900850","1860","Missouri","290","Hickory","0850","Hickory",16,14,11,4,6,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,60,195
"G2900870","1860","Missouri","290","Holt","0870","Holt",23,21,9,11,7,6,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,88,309
"G2900890","1860","Missouri","290","Howard","0890","Howard",150,100,57,57,54,50,35,47,34,116,56,29,9,4,2,1,0,0,0,0,0,801,5886
"G2900910","1860","Missouri","290","Howell","0910","Howell",7,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36
"G2900930","1860","Missouri","290","Iron","0930","Iron",22,12,7,5,3,4,2,3,0,7,1,0,0,0,1,0,0,0,0,0,0,67,313
"G2900950","1860","Missouri","290","Jackson","0950","Jackson",267,146,102,89,57,60,38,30,20,61,18,5,3,1,0,0,1,0,0,0,0,898,3944
"G2900970","1860","Missouri","290","Jasper","0970","Jasper",42,21,15,7,6,5,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,107,335
"G2900990","1860","Missouri","290","Jefferson","0990","Jefferson",52,14,15,18,10,9,4,3,3,4,3,0,1,0,1,0,0,0,0,0,0,137,564
"G2901010","1860","Missouri","290","Johnson","1010","Johnson",150,78,46,40,31,29,23,12,9,35,9,2,1,0,0,0,0,0,0,0,0,465,1896
"G2901030","1860","Missouri","290","Knox","1030","Knox",40,21,7,9,3,3,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,94,284
"G2901050","1860","Missouri","290","Laclede","1050","Laclede",22,9,9,8,4,2,1,1,2,5,2,2,0,0,0,0,0,0,0,0,0,67,305
"G2901070","1860","Missouri","290","Lafayette","1070","Lafayette",123,25,138,76,87,62,64,55,37,39,100,54,33,8,5,2,1,0,0,0,0,909,6374
"G2901090","1860","Missouri","290","Lawrence","1090","Lawrence",25,15,3,12,7,4,2,2,0,4,1,1,0,0,0,0,0,0,0,0,0,76,284
"G2901110","1860","Missouri","290","Lewis","1110","Lewis",115,59,41,38,24,15,14,17,8,12,6,1,0,0,0,0,0,0,0,0,0,350,1279
"G2901130","1860","Missouri","290","Lincoln","1130","Lincoln",143,97,68,50,41,41,24,23,14,48,12,7,2,2,0,1,0,0,0,0,0,573,2840
"G2901150","1860","Missouri","290","Linn","1150","Linn",51,25,7,14,8,5,12,6,3,8,2,2,0,0,0,0,0,0,0,0,0,143,577
"G2901170","1860","Missouri","290","Livingston","1170","Livingston",45,22,19,11,12,5,7,7,3,6,1,0,1,0,0,0,0,0,0,0,0,139,605
"G2901190","1860","Missouri","290","McDonald","1190","Mcdonald",9,6,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,72
"G2901210","1860","Missouri","290","Macon","1210","Macon",71,38,20,24,14,7,9,1,4,11,1,0,0,0,0,0,0,0,0,0,0,200,660
"G2901230","1860","Missouri","290","Madison","1230","Madison",35,15,11,7,5,7,6,6,2,10,2,1,0,0,0,0,0,0,0,0,0,107,467
"G2901250","1860","Missouri","290","Maries","1250","Maries",13,4,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,64
"G2901270","1860","Missouri","290","Marion","1270","Marion",308,142,87,59,53,37,27,19,19,48,12,5,1,0,0,0,0,0,0,0,0,817,3017
"G2901290","1860","Missouri","290","Mercer","1290","Mercer",7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
"G2901310","1860","Missouri","290","Miller","1310","Miller",27,10,10,5,7,1,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,71,238
"G2901330","1860","Missouri","290","Mississippi","1330","Mississippi",44,20,16,15,17,3,2,5,9,14,6,5,3,0,0,1,0,0,0,0,0,160,1010
"G2901350","1860","Missouri","290","Moniteau","1350","Moniteau",65,28,26,13,13,7,4,5,6,16,2,2,0,0,0,0,0,0,0,0,0,187,745
"G2901370","1860","Missouri","290","Monroe","1370","Monroe",230,104,82,73,57,39,33,35,16,49,12,2,1,0,0,0,0,0,0,0,0,733,3021
"G2901390","1860","Missouri","290","Montgomery","1390","Montgomery",100,60,54,33,24,27,16,16,14,19,5,3,0,1,1,0,0,0,0,0,0,373,1647
"G2901410","1860","Missouri","290","Morgan","1410","Morgan",34,20,14,13,15,13,10,6,3,5,1,2,2,0,0,0,0,0,0,0,0,138,649
"G2901430","1860","Missouri","290","New Madrid","1430","New Madrid",47,34,18,35,17,13,12,5,4,17,17,7,6,0,2,1,1,0,0,0,0,236,1777
"G2901450","1860","Missouri","290","Newton","1450","Newton",63,19,14,11,5,8,6,2,2,8,3,0,0,0,0,0,0,0,0,0,0,141,426
"G2901470","1860","Missouri","290","Nodaway","1470","Nodaway",16,5,3,3,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,35,127
"G2901490","1860","Missouri","290","Oregon","1490","Oregon",5,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26
"G2901510","1860","Missouri","290","Osage","1510","Osage",20,10,18,3,7,2,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,71,256
"G2901530","1860","Missouri","290","Ozark","1530","Ozark",6,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,43
"G2901550","1860","Missouri","290","Pemiscot","1550","Pemiscot",34,9,7,4,4,3,4,3,1,1,3,1,0,0,0,0,0,0,0,0,0,74,268
"G2901570","1860","Missouri","290","Perry","1570","Perry",59,37,15,22,14,8,12,2,4,11,2,1,0,0,0,0,0,0,0,0,0,187,739
"G2901590","1860","Missouri","290","Pettis","1590","Pettis",102,62,54,29,25,23,16,15,16,29,10,8,3,1,0,0,0,0,0,0,0,393,1882
"G2901610","1860","Missouri","290","Phelps","1610","Phelps",5,10,2,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,24,84
"G2901630","1860","Missouri","290","Pike","1630","Pike",242,130,96,81,57,60,39,24,31,75,24,7,4,1,0,0,0,0,0,0,0,871,4055
"G2901650","1860","Missouri","290","Platte","1650","Platte",156,98,85,59,67,36,42,32,14,53,23,9,0,0,0,0,0,0,0,0,0,674,3313
"G2901670","1860","Missouri","290","Polk","1670","Polk",47,31,19,15,12,5,5,3,1,4,1,3,0,0,0,0,0,0,0,0,0,146,512
"G2901690","1860","Missouri","290","Pulaski","1690","Pulaski",7,3,2,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,56
"G2901710","1860","Missouri","290","Putnam","1710","Putnam",6,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,31
"G2901730","1860","Missouri","290","Ralls","1730","Ralls",91,58,46,44,35,22,17,15,7,29,9,4,0,0,1,0,0,0,0,0,0,378,1791
"G2901750","1860","Missouri","290","Randolph","1750","Randolph",109,76,52,59,37,28,37,15,11,54,22,4,0,0,0,0,0,0,0,0,0,504,2619
"G2901770","1860","Missouri","290","Ray","1770","Ray",130,78,66,52,32,20,14,22,14,30,12,4,0,1,0,0,0,0,0,0,0,475,2047
"G2901790","1860","Missouri","290","Reynolds","1790","Reynolds",5,4,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,38
"G2901810","1860","Missouri","290","Ripley","1810","Ripley",15,5,3,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,78
"G2901830","1860","Missouri","290","St Charles","1830","St Charles",82,46,49,29,35,23,18,22,12,37,14,9,2,0,1,0,0,0,0,0,0,379,2181
"G2901850","1860","Missouri","290","St Clair","1850","St Clair",41,19,16,14,8,5,9,2,5,9,3,2,0,0,0,0,0,0,0,0,0,133,574
"G2901860","1860","Missouri","290","Ste Genevieve","1860","Ste Genevieve",30,21,12,16,7,10,6,1,3,7,2,2,1,0,0,1,0,0,0,0,0,119,617
"G2901870","1860","Missouri","290","St Francois","1870","St Francois",60,32,19,18,12,11,12,5,5,14,3,3,1,0,0,0,0,0,0,0,0,195,877
"G2901890","1860","Missouri","290","St Louis","1890","St Louis",434,187,139,106,72,52,39,33,16,48,18,6,3,2,1,0,0,0,0,0,0,1156,4346
"G2901950","1860","Missouri","290","Saline","1950","Saline",110,101,64,68,50,48,45,30,30,71,31,34,5,2,3,0,1,0,0,0,0,693,4876
"G2901970","1860","Missouri","290","Schuyler","1970","Schuyler",8,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39
"G2901990","1860","Missouri","290","Scotland","1990","Scotland",24,11,6,3,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,51,131
"G2902010","1860","Missouri","290","Scott","2010","Scott",25,12,6,7,7,9,5,2,6,7,1,2,2,0,0,0,0,0,0,0,0,91,503
"G2902030","1860","Missouri","290","Shannon","2030","Shannon",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
"G2902050","1860","Missouri","290","Shelby","2050","Shelby",101,44,23,20,9,4,10,3,7,13,0,0,0,0,0,0,0,0,0,0,0,234,724
"G2902070","1860","Missouri","290","Stoddard","2070","Stoddard",38,19,12,1,5,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,83,215
"G2902090","1860","Missouri","290","Stone","2090","Stone",5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
"G2902110","1860","Missouri","290","Sullivan","2110","Sullivan",13,1,7,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,28,102
"G2902130","1860","Missouri","290","Taney","2130","Taney",5,8,3,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,82
"G2902150","1860","Missouri","290","Texas","2150","Texas",12,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,21,56
"G2902170","1860","Missouri","290","Vernon","2170","Vernon",28,9,6,2,3,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,54,136
"G2902190","1860","Missouri","290","Warren","2190","Warren",76,40,21,19,10,13,9,7,5,17,6,6,0,0,0,0,0,0,0,0,0,229,1034
"G2902210","1860","Missouri","290","Washington","2210","Washington",38,28,23,20,14,10,12,6,6,18,9,3,1,0,0,0,0,0,0,0,0,188,1028
"G2902230","1860","Missouri","290","Wayne","2230","Wayne",22,14,8,7,3,3,5,4,1,3,1,0,0,0,0,0,0,0,0,0,0,71,261
"G2902250","1860","Missouri","290","Webster","2250","Webster",28,14,13,7,0,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,73,220
"G2902290","1860","Missouri","290","Wright","2290","Wright",14,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,66
"G3150015","1860","Nebraska Territory","315","Buffalo","0015","Buffalo",,,,,,,,,,,,,,,,,,,,,,,
"G3150035","1860","Nebraska Territory","315","Burt","0035","Burt",,,,,,,,,,,,,,,,,,,,,,,
"G3150055","1860","Nebraska Territory","315","Butler","0055","Butler",,,,,,,,,,,,,,,,,,,,,,,
"G3150075","1860","Nebraska Territory","315","Calhoun","0075","Calhoun",,,,,,,,,,,,,,,,,,,,,,,
"G3150095","1860","Nebraska Territory","315","Cass","0095","Cass",,,,,,,,,,,,,,,,,,,,,,,
"G3150115","1860","Nebraska Territory","315","Cedar","0115","Cedar",,,,,,,,,,,,,,,,,,,,,,,
"G3150135","1860","Nebraska Territory","315","Clay","0135","Clay",,,,,,,,,,,,,,,,,,,,,,,
"G3150155","1860","Nebraska Territory","315","Cuming","0155","Cuming",,,,,,,,,,,,,,,,,,,,,,,
"G3150175","1860","Nebraska Territory","315","Dakota","0175","Dakota",,,,,,,,,,,,,,,,,,,,,,,
"G3150195","1860","Nebraska Territory","315","Dawson","0195","Dawson",,,,,,,,,,,,,,,,,,,,,,,
"G3150215","1860","Nebraska Territory","315","Dixon","0215","Dixon",,,,,,,,,,,,,,,,,,,,,,,
"G3150235","1860","Nebraska Territory","315","Dodge","0235","Dodge",,,,,,,,,,,,,,,,,,,,,,,
"G3150255","1860","Nebraska Territory","315","Douglas","0255","Douglas",,,,,,,,,,,,,,,,,,,,,,,
"G3150275","1860","Nebraska Territory","315","Gage","0275","Gage",,,,,,,,,,,,,,,,,,,,,,,
"G3150295","1860","Nebraska Territory","315","Greene","0295","Greene",,,,,,,,,,,,,,,,,,,,,,,
"G3150315","1860","Nebraska Territory","315","Hall","0315","Hall",,,,,,,,,,,,,,,,,,,,,,,
"G3150335","1860","Nebraska Territory","315","Johnson/Johnston","0335","Johnson/Johnston",,,,,,,,,,,,,,,,,,,,,,,
"G3150355","1860","Nebraska Territory","315","Jones","0355","Jones",,,,,,,,,,,,,,,,,,,,,,,
"G3150375","1860","Nebraska Territory","315","Kearney","0375","Kearney",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
"G3150395","1860","Nebraska Territory","315","Lancaster","0395","Lancaster",,,,,,,,,,,,,,,,,,,,,,,
"G3150415","1860","Nebraska Territory","315","L'Eau Qui Court","0415","L'Eau Qui",,,,,,,,,,,,,,,,,,,,,,,
"G3150435","1860","Nebraska Territory","315","Madison","0435","Madison",,,,,,,,,,,,,,,,,,,,,,,
"G3150455","1860","Nebraska Territory","315","Merrick","0455","Merrick",,,,,,,,,,,,,,,,,,,,,,,
"G3150475","1860","Nebraska Territory","315","Nemaha","0475","Nemaha",,,,,,,,,,,,,,,,,,,,,,,
"G3150495","1860","Nebraska Territory","315","Nuckolls","0495","Nuckolls",,,,,,,,,,,,,,,,,,,,,,,
"G3150515","1860","Nebraska Territory","315","Otoe","0515","Otoe",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
"G3150535","1860","Nebraska Territory","315","Pawnee","0535","Pawnee",,,,,,,,,,,,,,,,,,,,,,,
"G3150575","1860","Nebraska Territory","315","Platte","0575","Platte",,,,,,,,,,,,,,,,,,,,,,,
"G3150595","1860","Nebraska Territory","315","Polk","0595","Polk",,,,,,,,,,,,,,,,,,,,,,,
"G3150615","1860","Nebraska Territory","315","Richardson","0615","Richardson",,,,,,,,,,,,,,,,,,,,,,,
"G3150635","1860","Nebraska Territory","315","Saline","0635","Saline",,,,,,,,,,,,,,,,,,,,,,,
"G3150655","1860","Nebraska Territory","315","Sarpy","0655","Sarpy",,,,,,,,,,,,,,,,,,,,,,,
"G3150675","1860","Nebraska Territory","315","Shorter","0675","Shorter",,,,,,,,,,,,,,,,,,,,,,,
"G3150715","1860","Nebraska Territory","315","Washington","0715","Washington",,,,,,,,,,,,,,,,,,,,,,,
"G3300010","1860","New Hampshire","330","Belknap","0010","Belknap",,,,,,,,,,,,,,,,,,,,,,,
"G3300030","1860","New Hampshire","330","Carroll","0030","Carroll",,,,,,,,,,,,,,,,,,,,,,,
"G3300050","1860","New Hampshire","330","Cheshire","0050","Cheshire",,,,,,,,,,,,,,,,,,,,,,,
"G3300070","1860","New Hampshire","330","Coos","0070","Coos",,,,,,,,,,,,,,,,,,,,,,,
"G3300090","1860","New Hampshire","330","Grafton","0090","Grafton",,,,,,,,,,,,,,,,,,,,,,,
"G3300110","1860","New Hampshire","330","Hillsborough","0110","Hillsborough",,,,,,,,,,,,,,,,,,,,,,,
"G3300130","1860","New Hampshire","330","Merrimack","0130","Merrimack",,,,,,,,,,,,,,,,,,,,,,,
"G3300150","1860","New Hampshire","330","Rockingham","0150","Rockingham",,,,,,,,,,,,,,,,,,,,,,,
"G3300170","1860","New Hampshire","330","Strafford","0170","Strafford",,,,,,,,,,,,,,,,,,,,,,,
"G3300190","1860","New Hampshire","330","Sullivan","0190","Sullivan",,,,,,,,,,,,,,,,,,,,,,,
"G3400010","1860","New Jersey","340","Atlantic","0010","Atlantic",,,,,,,,,,,,,,,,,,,,,,,
"G3400030","1860","New Jersey","340","Bergen","0030","Bergen",,,,,,,,,,,,,,,,,,,,,,,
"G3400050","1860","New Jersey","340","Burlington","0050","Burlington",,,,,,,,,,,,,,,,,,,,,,,
"G3400070","1860","New Jersey","340","Camden","0070","Camden",,,,,,,,,,,,,,,,,,,,,,,
"G3400090","1860","New Jersey","340","Cape May","0090","Cape May",,,,,,,,,,,,,,,,,,,,,,,
"G3400110","1860","New Jersey","340","Cumberland","0110","Cumberland",,,,,,,,,,,,,,,,,,,,,,,
"G3400130","1860","New Jersey","340","Essex","0130","Essex",,,,,,,,,,,,,,,,,,,,,,,
"G3400150","1860","New Jersey","340","Gloucester","0150","Gloucester",,,,,,,,,,,,,,,,,,,,,,,
"G3400170","1860","New Jersey","340","Hudson","0170","Hudson",,,,,,,,,,,,,,,,,,,,,,,
"G3400190","1860","New Jersey","340","Hunterdon","0190","Hunterdon",,,,,,,,,,,,,,,,,,,,,,,
"G3400210","1860","New Jersey","340","Mercer","0210","Mercer",,,,,,,,,,,,,,,,,,,,,,,
"G3400230","1860","New Jersey","340","Middlesex","0230","Middlesex",,,,,,,,,,,,,,,,,,,,,,,
"G3400250","1860","New Jersey","340","Monmouth","0250","Monmouth",,,,,,,,,,,,,,,,,,,,,,,
"G3400270","1860","New Jersey","340","Morris","0270","Morris",,,,,,,,,,,,,,,,,,,,,,,
"G3400290","1860","New Jersey","340","Ocean","0290","Ocean",,,,,,,,,,,,,,,,,,,,,,,
"G3400310","1860","New Jersey","340","Passaic","0310","Passaic",,,,,,,,,,,,,,,,,,,,,,,
"G3400330","1860","New Jersey","340","Salem","0330","Salem",,,,,,,,,,,,,,,,,,,,,,,
"G3400350","1860","New Jersey","340","Somerset","0350","Somerset",,,,,,,,,,,,,,,,,,,,,,,
"G3400370","1860","New Jersey","340","Sussex","0370","Sussex",,,,,,,,,,,,,,,,,,,,,,,
"G3400390","1860","New Jersey","340","Union","0390","Union",,,,,,,,,,,,,,,,,,,,,,,
"G3400410","1860","New Jersey","340","Warren","0410","Warren",,,,,,,,,,,,,,,,,,,,,,,
"G3550015","1860","New Mexico Territory","355","Arizona","0015","Arizona",,,,,,,,,,,,,,,,,,,,,,,
"G3550035","1860","New Mexico Territory","355","Bernalillo","0035","Bernalillo",,,,,,,,,,,,,,,,,,,,,,,
"G3550115","1860","New Mexico Territory","355","Dona Ana","0115","Dona Ana",,,,,,,,,,,,,,,,,,,,,,,
"G3550255","1860","New Mexico Territory","355","Mora","0255","Mora",,,,,,,,,,,,,,,,,,,,,,,
"G3550315","1860","New Mexico Territory","355","Rio Arriba","0315","Rio Arriba",,,,,,,,,,,,,,,,,,,,,,,
"G3550395","1860","New Mexico Territory","355","San Miguel","0395","San Miguel",,,,,,,,,,,,,,,,,,,,,,,
"G3550415","1860","New Mexico Territory","355","Santa Anna","0415","Santa Anna",,,,,,,,,,,,,,,,,,,,,,,
"G3550435","1860","New Mexico Territory","355","Santa Fe","0435","Santa Fe",,,,,,,,,,,,,,,,,,,,,,,
"G3550475","1860","New Mexico Territory","355","Socorro","0475","Socorro",,,,,,,,,,,,,,,,,,,,,,,
"G3550495","1860","New Mexico Territory","355","Taos","0495","Taos",,,,,,,,,,,,,,,,,,,,,,,
"G3550555","1860","New Mexico Territory","355","Valencia","0555","Valencia",,,,,,,,,,,,,,,,,,,,,,,
"G3600010","1860","New York","360","Albany","0010","Albany",,,,,,,,,,,,,,,,,,,,,,,
"G3600030","1860","New York","360","Allegany","0030","Allegany",,,,,,,,,,,,,,,,,,,,,,,
"G3600070","1860","New York","360","Broome","0070","Broome",,,,,,,,,,,,,,,,,,,,,,,
"G3600090","1860","New York","360","Cattaraugus","0090","Cattaraugus",,,,,,,,,,,,,,,,,,,,,,,
"G3600110","1860","New York","360","Cayuga","0110","Cayuga",,,,,,,,,,,,,,,,,,,,,,,
"G3600130","1860","New York","360","Chautauqua","0130","Chautauqua",,,,,,,,,,,,,,,,,,,,,,,
"G3600150","1860","New York","360","Chemung","0150","Chemung",,,,,,,,,,,,,,,,,,,,,,,
"G3600170","1860","New York","360","Chenango","0170","Chenango",,,,,,,,,,,,,,,,,,,,,,,
"G3600190","1860","New York","360","Clinton","0190","Clinton",,,,,,,,,,,,,,,,,,,,,,,
"G3600210","1860","New York","360","Columbia","0210","Columbia",,,,,,,,,,,,,,,,,,,,,,,
"G3600230","1860","New York","360","Cortland","0230","Cortland",,,,,,,,,,,,,,,,,,,,,,,
"G3600250","1860","New York","360","Delaware","0250","Delaware",,,,,,,,,,,,,,,,,,,,,,,
"G3600270","1860","New York","360","Dutchess","0270","Dutchess",,,,,,,,,,,,,,,,,,,,,,,
"G3600290","1860","New York","360","Erie","0290","Erie",,,,,,,,,,,,,,,,,,,,,,,
"G3600310","1860","New York","360","Essex","0310","Essex",,,,,,,,,,,,,,,,,,,,,,,
"G3600330","1860","New York","360","Franklin","0330","Franklin",,,,,,,,,,,,,,,,,,,,,,,
"G3600350","1860","New York","360","Fulton","0350","Fulton",,,,,,,,,,,,,,,,,,,,,,,
"G3600370","1860","New York","360","Genesee","0370","Genesee",,,,,,,,,,,,,,,,,,,,,,,
"G3600390","1860","New York","360","Greene","0390","Greene",,,,,,,,,,,,,,,,,,,,,,,
"G3600410","1860","New York","360","Hamilton","0410","Hamilton",,,,,,,,,,,,,,,,,,,,,,,
"G3600430","1860","New York","360","Herkimer","0430","Herkimer",,,,,,,,,,,,,,,,,,,,,,,
"G3600450","1860","New York","360","Jefferson","0450","Jefferson",,,,,,,,,,,,,,,,,,,,,,,
"G3600470","1860","New York","360","Kings","0470","Kings",,,,,,,,,,,,,,,,,,,,,,,
"G3600490","1860","New York","360","Lewis","0490","Lewis",,,,,,,,,,,,,,,,,,,,,,,
"G3600510","1860","New York","360","Livingston","0510","Livingston",,,,,,,,,,,,,,,,,,,,,,,
"G3600530","1860","New York","360","Madison","0530","Madison",,,,,,,,,,,,,,,,,,,,,,,
"G3600550","1860","New York","360","Monroe","0550","Monroe",,,,,,,,,,,,,,,,,,,,,,,
"G3600570","1860","New York","360","Montgomery","0570","Montgomery",,,,,,,,,,,,,,,,,,,,,,,
"G3600610","1860","New York","360","New York","0610","New York",,,,,,,,,,,,,,,,,,,,,,,
"G3600630","1860","New York","360","Niagara","0630","Niagara",,,,,,,,,,,,,,,,,,,,,,,
"G3600650","1860","New York","360","Oneida","0650","Oneida",,,,,,,,,,,,,,,,,,,,,,,
"G3600670","1860","New York","360","Onondaga","0670","Onondaga",,,,,,,,,,,,,,,,,,,,,,,
"G3600690","1860","New York","360","Ontario","0690","Ontario",,,,,,,,,,,,,,,,,,,,,,,
"G3600710","1860","New York","360","Orange","0710","Orange",,,,,,,,,,,,,,,,,,,,,,,
"G3600730","1860","New York","360","Orleans","0730","Orleans",,,,,,,,,,,,,,,,,,,,,,,
"G3600750","1860","New York","360","Oswego","0750","Oswego",,,,,,,,,,,,,,,,,,,,,,,
"G3600770","1860","New York","360","Otsego","0770","Otsego",,,,,,,,,,,,,,,,,,,,,,,
"G3600790","1860","New York","360","Putnam","0790","Putnam",,,,,,,,,,,,,,,,,,,,,,,
"G3600810","1860","New York","360","Queens","0810","Queens",,,,,,,,,,,,,,,,,,,,,,,
"G3600830","1860","New York","360","Rensselaer","0830","Rensselaer",,,,,,,,,,,,,,,,,,,,,,,
"G3600850","1860","New York","360","Richmond","0850","Richmond",,,,,,,,,,,,,,,,,,,,,,,
"G3600870","1860","New York","360","Rockland","0870","Rockland",,,,,,,,,,,,,,,,,,,,,,,
"G3600890","1860","New York","360","St Lawrence","0890","St Lawrence",,,,,,,,,,,,,,,,,,,,,,,
"G3600910","1860","New York","360","Saratoga","0910","Saratoga",,,,,,,,,,,,,,,,,,,,,,,
"G3600930","1860","New York","360","Schenectady","0930","Schenectady",,,,,,,,,,,,,,,,,,,,,,,
"G3600950","1860","New York","360","Schoharie","0950","Schoharie",,,,,,,,,,,,,,,,,,,,,,,
"G3600970","1860","New York","360","Schuyler","0970","Schuyler",,,,,,,,,,,,,,,,,,,,,,,
"G3600990","1860","New York","360","Seneca","0990","Seneca",,,,,,,,,,,,,,,,,,,,,,,
"G3601010","1860","New York","360","Steuben","1010","Steuben",,,,,,,,,,,,,,,,,,,,,,,
"G3601030","1860","New York","360","Suffolk","1030","Suffolk",,,,,,,,,,,,,,,,,,,,,,,
"G3601050","1860","New York","360","Sullivan","1050","Sullivan",,,,,,,,,,,,,,,,,,,,,,,
"G3601070","1860","New York","360","Tioga","1070","Tioga",,,,,,,,,,,,,,,,,,,,,,,
"G3601090","1860","New York","360","Tompkins","1090","Tompkins",,,,,,,,,,,,,,,,,,,,,,,
"G3601110","1860","New York","360","Ulster","1110","Ulster",,,,,,,,,,,,,,,,,,,,,,,
